Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column11	Column12
Woodbourne Airport	Woodbourne	New Zealand	BHE	NZWB	-41.5182991	173.8699951	Z	Pacific/Auckland
Williams Field	Weydon	Antarctica	\N	NZWD	-77.86740112	167.0570068	N	Antarctica/South_Pole
Wanaka Airport	Wanaka	New Zealand	WKA	NZWF	-44.72219849	169.2460022	Z	Pacific/Auckland
Wigram Airport	Wigram	New Zealand	\N	NZWG	-43.55110168	172.5529938	Z	Pacific/Auckland
Whakatane Airport	Whakatane	New Zealand	WHK	NZWK	-37.92060089	176.9140015	Z	Pacific/Auckland
West Melton Aerodrome	West Melton	New Zealand	\N	NZWL	-43.47669983	172.3970032	Z	\N
Wellington International Airport	Wellington	New Zealand	WLG	NZWN	-41.32720184	174.8049927	Z	Pacific/Auckland
Wairoa Airport	Wairoa	New Zealand	WIR	NZWO	-39.00690079	177.4069977	Z	Pacific/Auckland
RNZAF Base Auckland-Whenuapai	Whenuapai	New Zealand	\N	NZWP	-36.78779984	174.6300049	Z	Pacific/Auckland
Whangarei Airport	Whangarei	New Zealand	WRE	NZWR	-35.7682991	174.3650055	Z	Pacific/Auckland
Westport Airport	Westport	New Zealand	WSZ	NZWS	-41.73809814	171.5809937	Z	Pacific/Auckland
Whitianga Airport	Whitianga	New Zealand	WTZ	NZWT	-36.83169937	175.6790009	U	Pacific/Auckland
Wanganui Airport	Wanganui	New Zealand	WAG	NZWU	-39.96220016	175.0249939	Z	Pacific/Auckland
Bamiyan Airport	Bamyan	Afghanistan	BIN	OABN	34.81700134	67.81700134	N	Asia/Kabul
Bost Airport	Lashkar Gah	Afghanistan	BST	OABT	31.55970001	64.36499786	U	Asia/Kabul
Chakcharan Airport	Chaghcharan	Afghanistan	CCN	OACC	34.53300095	65.26699829	U	Asia/Kabul
Farah Airport	Farah	Afghanistan	FAH	OAFR	32.36700058	62.18299866	N	\N
Fayzabad Airport	Faizabad	Afghanistan	FBD	OAFZ	37.121101	70.518097	U	Asia/Kabul
Ghazni Airport	Ghazni	Afghanistan	GZI	OAGN	33.53120041	68.41290283	N	\N
Herat Airport	Herat	Afghanistan	HEA	OAHR	34.20999908	62.22829819	U	Asia/Kabul
Bagram Air Base	Kabul	Afghanistan	OAI	OAIX	34.94609833	69.26499939	U	Asia/Kabul
Jalalabad Airport	Jalalabad	Afghanistan	JAA	OAJL	34.39979935	70.49859619	U	Asia/Kabul
Hamid Karzai International Airport	Kabul	Afghanistan	KBL	OAKB	34.565899	69.212303	U	Asia/Kabul
Kandahar Airport	Kandahar	Afghanistan	KDH	OAKN	31.50580025	65.84780121	U	Asia/Kabul
Khost Airport	Khost	Afghanistan	KHT	OAKS	33.33340073	69.95200348	N	Asia/Kabul
Maimana Airport	Maimama	Afghanistan	MMZ	OAMN	35.93080139	64.7609024	U	Asia/Kabul
Mazar I Sharif Airport	Mazar-i-sharif	Afghanistan	MZR	OAMS	36.70690155	67.20970154	U	Asia/Kabul
Sharana Airstrip	Sharona	Afghanistan	OAS	OASA	33.12575	68.838517	N	Asia/Kabul
Shindand Airport	Shindand	Afghanistan	OAH	OASD	33.3913002	62.26100159	U	Asia/Kabul
Sheberghan Airport	Sheberghan	Afghanistan	\N	OASG	36.75080109	65.91320038	U	Asia/Kabul
Shank Air Base	Shank	Afghanistan	OAA	OASH	33.9225	69.07722222	N	Asia/Kabul
Tarin Kowt Airport	Tarin Kowt	Afghanistan	TII	OATN	32.60419846	65.86579895	U	Asia/Kabul
Konduz Airport	Kunduz	Afghanistan	UND	OAUZ	36.6651001	68.91079712	U	Asia/Kabul
Camp Bastion Airport	Camp Bastion	Afghanistan	OAZ	OAZI	31.86380005	64.22460175	N	Asia/Kabul
